elapsed_s,rate_ticks_per_sec
1.000,97.9
1.500,250.0
2.000,404.0
2.500,516.1
3.000,687.9
3.500,831.9
4.000,976.1
4.500,1162.0
5.000,1294.0
5.500,1441.8
6.000,1588.4
6.499,1630.9
6.999,1648.9
7.499,1703.3
7.999,1645.9
8.499,1673.7
8.999,1661.5
9.499,1663.2
9.999,1696.0
10.499,1673.8
10.999,1672.3
11.499,1690.2
11.999,1695.8
12.499,1660.2
12.999,1674.1
13.499,1674.0
13.999,1661.7
14.499,1688.5
14.999,1705.8
15.499,1704.2
15.999,1674.1
16.499,1667.8
16.999,1674.4
17.499,1679.8
17.999,1710.0
18.499,1718.3
18.999,1675.7
19.499,1616.2
19.999,1708.3
20.499,1712.0
20.999,1680.1
21.499,1692.0
21.999,1663.9
22.499,1667.5
22.999,1672.8
23.498,1656.1
23.998,1681.9
24.499,1699.6
24.998,1694.5
25.498,1674.0
25.998,1668.0
26.498,1672.1
26.998,1694.1
27.499,1671.6
27.998,1680.5
28.498,1704.0
28.998,1668.2
29.498,1654.2
29.997,1710.9
30.498,1669.7
