elapsed_s,rate_ticks_per_sec
1.000,114.0
1.500,268.0
2.000,412.0
2.500,560.0
3.000,700.0
3.500,844.1
4.000,988.0
4.500,1138.0
5.000,1282.1
5.500,1438.0
6.000,1566.2
6.500,1619.9
7.000,1644.0
7.500,1656.2
8.000,1669.7
8.500,1606.1
8.999,1633.3
9.499,1577.6
9.999,1584.5
10.499,1613.7
10.999,1708.0
11.499,1708.5
11.999,1589.9
12.499,1673.8
12.999,1714.3
13.499,1669.6
13.999,1710.2
14.499,1704.2
14.999,1583.6
15.499,1596.7
15.999,1609.9
16.499,1642.3
16.999,1713.5
17.499,1714.1
17.999,1720.4
18.499,1635.8
18.998,1636.3
19.499,1677.8
19.999,1730.0
20.498,1704.2
20.998,1678.1
21.498,1672.1
21.998,1680.1
22.498,1678.0
22.998,1640.0
23.498,1622.1
23.998,1651.8
24.498,1628.0
24.998,1600.0
25.498,1586.0
25.998,1612.3
26.498,1685.9
26.998,1650.1
27.498,1702.1
27.999,1611.4
28.498,1676.8
28.998,1712.1
29.498,1709.6
29.998,1722.5
30.498,1624.0
30.998,1707.9
31.497,1689.2
31.997,1683.9
32.497,1681.6
32.997,1666.5
33.497,1686.1
33.997,1673.9
34.497,1660.2
34.997,1657.4
35.497,1676.7
35.997,1687.5
36.497,1662.5
36.997,1662.0
37.497,1660.1
37.997,1703.9
38.498,1692.3
38.997,1713.2
39.497,1698.7
39.997,1707.6
40.497,1700.6
40.997,1669.8
41.497,1690.1
41.997,1681.6
42.497,1664.3
42.997,1600.1
43.497,1578.2
43.997,1616.1
44.497,1551.9
44.997,1634.2
45.497,1585.8
45.997,1542.3
46.497,1577.9
46.997,1662.0
47.497,1642.0
47.997,1617.9
48.497,1604.0
48.997,1696.2
49.497,1743.9
49.997,1677.9
50.497,1684.2
50.997,1701.4
51.497,1550.7
51.997,1638.0
52.497,1584.0
52.997,1646.0
53.497,1596.1
53.996,1547.9
54.496,1680.9
54.996,1636.1
55.496,1516.1
55.996,1585.8
56.496,1601.8
56.996,1558.5
57.496,1634.0
57.996,1643.9
58.496,1592.2
58.996,1562.0
59.496,1561.9
59.996,1572.2
60.496,1548.0
