elapsed_s,rate_ticks_per_sec
1.000,108.0
1.500,262.1
2.000,398.0
2.500,535.8
3.000,688.1
3.500,834.1
4.000,980.1
4.500,1115.5
5.000,1266.5
5.500,1440.3
6.000,1579.3
6.500,1606.8
7.000,1637.8
7.500,1670.3
8.000,1670.0
8.500,1671.9
9.000,1688.3
9.500,1654.0
10.000,1611.6
10.500,1634.3
11.000,1601.9
11.500,1579.9
12.000,1589.8
12.500,1752.5
13.000,1713.9
13.500,1692.3
14.000,1673.9
14.500,1695.9
15.000,1688.1
15.500,1634.2
16.000,1698.1
16.500,1598.0
17.000,1661.7
17.500,1694.2
18.000,1632.2
18.500,1605.6
19.000,1620.6
19.500,1616.1
19.999,1666.6
20.499,1636.4
20.999,1587.9
21.499,1648.0
21.999,1622.4
22.499,1609.9
22.999,1612.0
23.499,1616.2
23.999,1611.8
24.499,1661.6
24.999,1700.2
25.499,1649.4
25.999,1490.4
26.499,1634.2
26.999,1666.3
27.498,1532.2
27.999,1669.7
28.499,1616.0
28.999,1591.8
29.499,1580.4
29.999,1575.9
30.498,1572.3
30.998,1580.0
31.498,1594.2
31.999,1583.7
32.498,1606.3
32.998,1734.3
33.498,1675.7
33.998,1562.0
34.498,1636.3
34.998,1592.2
35.498,1579.7
35.998,1684.1
36.498,1602.2
36.998,1657.5
37.498,1632.5
37.998,1690.0
38.498,1715.9
38.998,1614.0
39.498,1571.9
39.998,1544.2
40.498,1542.1
40.998,1557.8
41.498,1576.1
41.998,1546.2
42.497,1615.0
42.997,1669.8
43.497,1641.7
43.997,1608.2
44.497,1666.2
44.997,1624.0
45.497,1656.2
45.997,1598.1
46.497,1631.9
46.997,1573.8
47.497,1674.6
47.997,1721.7
48.497,1558.2
48.997,1602.1
49.497,1547.9
49.997,1590.0
50.497,1583.5
50.997,1646.7
51.497,1646.0
51.997,1620.1
52.497,1669.7
52.997,1700.2
53.497,1683.6
53.997,1672.2
54.497,1652.4
54.997,1677.4
55.497,1676.6
55.997,1684.1
56.497,1679.8
56.997,1707.9
57.497,1708.1
57.997,1642.3
58.497,1663.9
58.997,1721.7
59.497,1702.2
59.997,1690.1
60.497,1683.5
