test,timestamp,raw_data
,1779038630.406213,:-18 R:-1071
,1779038630.4101849,"L:-18459 R:-10717L:-18460 R:-0717"
,1779038630.4112248,L:-1861 R:-1017
,1779038630.4132488,L:-18461 R:-10717
,1779038630.4152346,L:-18462 R:-10717
,1779038630.4163625,L:-18462 R:-10717
,1779038630.4183178,L:-18463 R:-10717
,1779038630.42032,L:-18463 R:-10717
,1779038630.4212656,L:-18463 R:-10717
,1779038630.4232771,L:-18464 R:-10717
,1779038630.4252412,L:-18464 R:-10717
,1779038630.426228,L:-18464 R:-10717
,1779038630.4284306,L:-18464 R:-10717
,1779038630.4300833,L:-18465 R:-10717
,1779038630.4312317,L:-18465 R:-10717
,1779038630.4331784,L:-18465 R:-10717
,1779038630.4342737,L:-18465 R:-10717
,1779038630.4362414,L:-18466 R:-10717
,1779038630.4381948,L:-18466 R:-10717
,1779038630.4393137,L:-18466 R:-10717
,1779038630.4415586,L:-18466 R:-10717
,1779038630.443338,L:-18466 R:-10717
,1779038630.4443965,L:-18466 R:-10717
,1779038630.4463506,L:-18466 R:-10717
,1779038630.4483132,L:-18466 R:-10717
,1779038630.449429,L:-18466 R:-10717
,1779038630.4514267,L:-18467 R:-10717
,1779038630.4533634,L:-18467 R:-10717
,1779038630.454408,L:-18467 R:-10717
,1779038630.4563909,L:-18467 R:-10717
,1779038630.4583287,L:-18467 R:-10717
,1779038630.4594085,L:-18467 R:-10717
,1779038630.4613018,L:-18467 R:-10717
,1779038630.4632761,L:-18467 R:-10717
,1779038630.464341,L:-18467 R:-10717
,1779038630.4663851,L:-18467 R:-10717
,1779038630.4682765,L:-18467 R:-10717
,1779038630.4691594,L:-18467 R:-10717
,1779038630.4712582,L:-18467 R:-10717
,1779038630.472337,L:-18467 R:-10717
,1779038630.4742854,L:-18467 R:-10717
,1779038630.4761584,L:-18467 R:-10717
,1779038630.4773092,L:-18467 R:-10717
,1779038630.4792783,L:-18467 R:-10717
,1779038630.4810717,L:-18467 R:-10717
,1779038630.4821172,L:-18467 R:-10717
,1779038630.484111,L:-18467 R:-10717
,1779038630.4860895,L:-18467 R:-10717
,1779038630.487149,L:-18467 R:-10717
,1779038630.4891381,L:-18467 R:-10717
,1779038630.4911308,L:-18467 R:-10717
,1779038630.4919982,L:-18467 R:-10717
,1779038630.4940867,L:-18467 R:-10717
,1779038630.496096,L:-18467 R:-10717
,1779038630.497083,L:-18467 R:-10717
,1779038630.49915,L:-18467 R:-10717
,1779038630.501062,L:-18467 R:-10717
,1779038630.502022,L:-18467 R:-10717
,1779038630.505238,L:-18467 R:-10717
,1779038630.5054238,L:-18467 R:-10717
,1779038630.5069165,L:-18467 R:-10717
,1779038630.5090156,L:-18467 R:-10717
,1779038630.5108943,L:-18467 R:-10717
,1779038630.512059,L:-18467 R:-10717
,1779038630.51395,L:-18467 R:-10717
,1779038630.515922,L:-18467 R:-10717
,1779038630.5170012,L:-18467 R:-10717
,1779038630.519056,L:-18467 R:-10717
,1779038630.5210378,L:-18467 R:-10717
,1779038630.5220213,L:-18467 R:-10717
,1779038630.5239568,L:-18467 R:-10717
,1779038630.5250597,L:-18467 R:-10717
,1779038630.5270202,L:-18467 R:-10717
,1779038630.528946,L:-18467 R:-10717
,1779038630.5299633,L:-18467 R:-10717
,1779038630.5320456,L:-18467 R:-10717
,1779038630.5340462,L:-18467 R:-10717
,1779038630.5352433,L:-18467 R:-10717
,1779038630.5371115,L:-18467 R:-10717
,1779038630.539147,L:-18467 R:-10717
,1779038630.5400171,L:-18467 R:-10717
,1779038630.5420654,L:-18467 R:-10717
,1779038630.5441098,L:-18467 R:-10717
,1779038630.5450296,L:-18467 R:-10717
,1779038630.5470073,L:-18467 R:-10717
,1779038630.549004,L:-18467 R:-10717
,1779038630.5501418,L:-18467 R:-10717
,1779038630.5522208,L:-18467 R:-10717
,1779038630.554222,L:-18467 R:-10717
,1779038630.5554233,L:-18467 R:-10717
,1779038630.5572639,L:-18467 R:-10717
,1779038630.5583,L:-18467 R:-10717
,1779038630.5602875,L:-18467 R:-10717
,1779038630.5622723,L:-18467 R:-10717
,1779038630.5632684,L:-18467 R:-10717
,1779038630.565245,L:-18467 R:-10717
,1779038630.567145,L:-18467 R:-10717
,1779038630.5692246,L:-18467 R:-10717
,1779038630.5702853,L:-18467 R:-10717
,1779038630.5723953,L:-18467 R:-10717
,1779038630.5734057,L:-18467 R:-10717
,1779038630.5753515,L:-18467 R:-10717
,1779038630.5773938,L:-18467 R:-10717
,1779038630.5782497,L:-18467 R:-10717
,1779038630.5804188,L:-18467 R:-10717
,1779038630.582381,L:-18467 R:-10717
,1779038630.5832474,L:-18467 R:-10717
,1779038630.5854154,L:-18467 R:-10717
,1779038630.5873668,L:-18467 R:-10717
,1779038630.588269,L:-18467 R:-10717
,1779038630.5904057,L:-18467 R:-10717
,1779038630.592359,L:-18467 R:-10717
,1779038630.5934215,L:-18467 R:-10717
,1779038630.5954802,L:-18467 R:-10717
,1779038630.5973334,L:-18467 R:-10717
,1779038630.5983734,L:-18467 R:-10717
,1779038630.6003478,L:-18467 R:-10717
,1779038630.6014998,L:-18467 R:-10717
,1779038630.6031415,L:-18467 R:-10717
,1779038630.6051166,L:-18467 R:-10717
,1779038630.6063564,L:-18467 R:-10717
,1779038630.6083064,L:-18467 R:-10717
,1779038630.6102211,L:-18467 R:-10717
,1779038630.6112459,L:-18467 R:-10717
,1779038630.6132674,L:-18467 R:-10717
,1779038630.6152487,L:-18467 R:-10717
,1779038630.616387,L:-18467 R:-10717
,1779038630.618133,L:-18467 R:-10717
,1779038630.620288,L:-18467 R:-10717
,1779038630.6213343,L:-18467 R:-10717
,1779038630.6230848,L:-18467 R:-10717
,1779038630.6252608,L:-18467 R:-10717
,1779038630.626549,L:-18467 R:-10717
,1779038630.6292355,L:-18467 R:-10717
,1779038630.6300302,L:-18467 R:-10717
,1779038630.631413,L:-18467 R:-10717
,1779038630.633151,L:-18467 R:-10717
,1779038630.6352565,L:-18467 R:-10717
,1779038630.6363628,L:-18467 R:-10717
,1779038630.6382341,L:-18467 R:-10717
,1779038630.6402617,L:-18467 R:-10717
,1779038630.641423,L:-18467 R:-10717
,1779038630.643488,L:-18467 R:-10717
,1779038630.6452243,L:-18467 R:-10717
,1779038630.646523,L:-18467 R:-10717
,1779038630.6482222,L:-18467 R:-10717
,1779038630.6492884,L:-18467 R:-10717
,1779038630.65125,L:-18467 R:-10717
,1779038630.6531875,L:-18467 R:-10717
,1779038630.6544764,L:-18467 R:-10717
